
(temperature external 9degrees internal temperature 21 degrees.)

Current angle: 0
Accelerometer:  | Z = 3740
Accelerometer:  | Z = 3844
Accelerometer:  | Z = 3740
Accelerometer:  | Z = 3636
Accelerometer:  | Z = 3792
Accelerometer:  | Z = 3720
|Average: 3783.80

Current angle: 648
Accelerometer:  | Z = 3896
Accelerometer:  | Z = 3892
Accelerometer:  | Z = 3836
Accelerometer:  | Z = 3948
Accelerometer:  | Z = 3936
Accelerometer:  | Z = 3808
Accelerometer:  | Z = 4024
Accelerometer:  | Z = 3884
Accelerometer:  | Z = 3804
Accelerometer:  | Z = 3808
Accelerometer:  | Z = 3820
Accelerometer:  | Z = 3896
Accelerometer:  | Z = 3836
Accelerometer:  | Z = 3816
Accelerometer:  | Z = 3720
Accelerometer:  | Z = 3764
Accelerometer:  | Z = 3852
Accelerometer:  | Z = 3876
Accelerometer:  | Z = 3996
Accelerometer:  | Z = 3828
|Average: 3862.00


Current angle: 684
Accelerometer:  | Z = 12228
Accelerometer:  | Z = 12256
Accelerometer:  | Z = 12328
Accelerometer:  | Z = 12180
Accelerometer:  | Z = 12316
Accelerometer:  | Z = 12368
Accelerometer:  | Z = 12260
Accelerometer:  | Z = 12256
Accelerometer:  | Z = 12344
Accelerometer:  | Z = 12264
Accelerometer:  | Z = 12476
Accelerometer:  | Z = 12276
Accelerometer:  | Z = 12284
Accelerometer:  | Z = 12344
Accelerometer:  | Z = 12400
Accelerometer:  | Z = 12284
Accelerometer:  | Z = 12204
Accelerometer:  | Z = 12236
Accelerometer:  | Z = 12336
Accelerometer:  | Z = 12284
|Average: 12296.20

Current angle: 720
Accelerometer:  | Z = 15968
Accelerometer:  | Z = 15856
Accelerometer:  | Z = 15960
Accelerometer:  | Z = 15884
Accelerometer:  | Z = 15772
Accelerometer:  | Z = 15888
Accelerometer:  | Z = 15960
Accelerometer:  | Z = 15960
Accelerometer:  | Z = 16020
Accelerometer:  | Z = 15992
Accelerometer:  | Z = 15916
Accelerometer:  | Z = 16008
Accelerometer:  | Z = 15908
Accelerometer:  | Z = 16040
Accelerometer:  | Z = 15828
Accelerometer:  | Z = 15848
Accelerometer:  | Z = 15912
Accelerometer:  | Z = 15856
Accelerometer:  | Z = 15952
Accelerometer:  | Z = 15836
|Average: 15918.20
